date,total_revenue,total_orders,new_customers,returning_customers,total_marketing_spend,total_impressions,total_website_visits,total_product_views,total_add_to_carts,overall_roas,aov
2025-12-18,2633.25,17,9,8,855.15,62557,2312,1545,251,3.08,154.9
2025-12-19,1905.85,13,8,5,889.73,59764,2342,1350,345,2.14,146.6
2025-12-20,3651.1,13,3,10,863.97,62015,2625,1607,253,4.23,280.85
2025-12-21,3195.79,14,7,7,920.97,73529,2745,1641,314,3.47,228.27
2025-12-22,3573.19,15,7,8,742.7,52416,2142,1366,224,4.81,238.21
2025-12-23,1834.39,10,4,6,820.32,70213,2989,1905,472,2.24,183.44
2025-12-24,4721.72,17,6,11,712.24,52299,1994,1265,255,6.63,277.75
2025-12-25,2258.62,12,8,4,731.47,65536,2447,1577,397,3.09,188.22
2025-12-26,0,0,0,0,0.0,0,711,392,84,0.0,0.0
2025-12-27,0,0,0,0,0.0,0,300,197,45,0.0,0.0
2025-12-28,524.88,2,1,1,0.0,0,480,301,64,0.0,262.44
2025-12-29,753.0,4,0,4,0.0,0,393,232,54,0.0,188.25
2025-12-30,97.32,1,0,1,0.0,0,547,371,99,0.0,97.32
2025-12-31,74.64,1,0,1,0.0,0,450,306,74,0.0,74.64
